Indice,nome,ref,design,Data,Quant,Eur,numero_de_cliente
157,"CASA CAÇADOR-COM.AGROQUIMICOS UNIPESSOAL,LDA",J.JOV00047,ZUM LACA - 300ML,2023,12,48.74,3981
158,"CASA CAÇADOR-COM.AGROQUIMICOS UNIPESSOAL,LDA",J.QM0010,DIPTRON - 100ML,2023,72,696.96,3981
159,"CASA CAÇADOR-COM.AGROQUIMICOS UNIPESSOAL,LDA",J.QM0014,MASTERFLY  VESPAS- 1LT,2023,12,88.75,3981
160,"CASA CAÇADOR-COM.AGROQUIMICOS UNIPESSOAL,LDA",J.UNIV0018,"ARPON ""G"" - 1LTº.",2023,6,228.48,3981
161,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0178,VEBITOX PASTA EXTREME AZUL - 150GR,2023,0,0,4582
162,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0179,VEBITOX PASTA PLUS VERMELHA - 150GR,2023,0,0,4582
163,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0180,VEBITOX GRANULADO EXTREME - 140GR,2023,0,0,4582
164,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0181,VEBITOX PELLET PLUS - 140GR,2023,0,0,4582
165,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0185,VEBITOX PASTA 10 - 1.5KG,2023,0,0,4582
166,"CENTRO AGRICOLA DE MEROUÇOS, LDA",J.LIS0186,VEBITOX GRANULADO 20 - 1.5KG,2023,0,0,4582
167,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0178,VEBITOX PASTA EXTREME AZUL - 150GR,2023,108,136.72,4582
168,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0179,VEBITOX PASTA PLUS VERMELHA - 150GR,2023,108,127.28,4582
169,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0180,VEBITOX GRANULADO EXTREME - 140GR,2023,96,96.38,4582
170,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0181,VEBITOX PELLET PLUS - 140GR,2023,48,52.38,4582
171,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0185,VEBITOX PASTA 10 - 1.5KG,2023,130,10104,4582
172,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.LIS0186,VEBITOX GRANULADO 20 - 1.5KG,2023,70,369.71,4582
173,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.MV000002,TABERDOG CÃO COLEIRA ANTIP.-60CM,2023,12,33.31,4582
174,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.MV000003,TABERCAT GATO COLEIRA ANTIP.-33CM,2023,12,31.61,4582
175,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.MV000232,TABERDOG COLEIRA CÃO PEQ ANTIP.-40CM,2023,12,31.61,4582
